Module	Entry Function	Relevant Properties
arch-arc-oprofile-oprofile-ko_main0.c	main	0
arch-blackfin-oprofile-oprofile-ko_main0.c	main	0
arch-frv-mb93090-mb00-flash-ko_main0.c	main	0
arch-m32r-oprofile-oprofile-ko_main0.c	main	0
arch-microblaze-oprofile-oprofile-ko_main0.c	main	0
arch-mips-cobalt-mtd-ko_main0.c	main	0
arch-mn10300-oprofile-oprofile-ko_main0.c	main	0
arch-parisc-oprofile-oprofile-ko_main0.c	main	0
arch-sparc-oprofile-oprofile-ko_main0.c	main	0
arch-x86-ia32-ia32_aout-ko_main0.c	main	0
arch-x86-kernel-cpuid-ko_main0.c	main	3
arch-x86-kernel-cpu-mcheck-mce-inject-ko_main0.c	main	0
arch-x86-kernel-cpu-microcode-microcode-ko_main0.c	main	2
arch-x86-kernel-iosf_mbi-ko_main0.c	main	0
arch-x86-kernel-msr-ko_main0.c	main	3
arch-x86-kernel-test_nx-ko_main0.c	main	0
arch-x86-mm-testmmiotrace-ko_main0.c	main	0
arch-x86-oprofile-oprofile-ko_main0.c	main	2
block-cfq-iosched-ko_main0.c	main	2
block-deadline-iosched-ko_main0.c	main	1
crypto-af_alg-ko_main0.c	main	2
crypto-algif_hash-ko_main0.c	main	1
crypto-algif_rng-ko_main0.c	main	0
crypto-algif_skcipher-ko_main0.c	main	1
crypto-ansi_cprng-ko_main0.c	main	0
crypto-anubis-ko_main0.c	main	0
crypto-arc4-ko_main0.c	main	0
crypto-asymmetric_keys-pkcs7_message-ko_main0.c	main	0
crypto-asymmetric_keys-pkcs7_test_key-ko_main0.c	main	0
crypto-async_tx-async_pq-ko_main0.c	main	0
crypto-async_tx-async_tx-ko_main0.c	main	0
crypto-async_tx-raid6test-ko_main0.c	main	0
crypto-authencesn-ko_main0.c	main	0
crypto-authenc-ko_main0.c	main	0
crypto-blowfish_generic-ko_main0.c	main	0
crypto-camellia_generic-ko_main0.c	main	0
crypto-cast5_generic-ko_main0.c	main	0
crypto-cast6_generic-ko_main0.c	main	0
crypto-ccm-ko_main0.c	main	0
crypto-cmac-ko_main0.c	main	0
crypto-crc32c_generic-ko_main0.c	main	0
crypto-crc32-ko_main0.c	main	0
crypto-cryptd-ko_main0.c	main	1
crypto-crypto_null-ko_main0.c	main	0
crypto-crypto_user-ko_main0.c	main	1
crypto-ctr-ko_main0.c	main	0
crypto-cts-ko_main0.c	main	0
crypto-deflate-ko_main0.c	main	0
crypto-des_generic-ko_main0.c	main	0
crypto-drbg-ko_main0.c	main	1
crypto-ecb-ko_main0.c	main	0
crypto-fcrypt-ko_main0.c	main	0
crypto-gcm-ko_main0.c	main	0
crypto-ghash-generic-ko_main0.c	main	0
crypto-khazad-ko_main0.c	main	0
crypto-lrw-ko_main0.c	main	0
crypto-lz4hc-ko_main0.c	main	0
crypto-lz4-ko_main0.c	main	0
crypto-mcryptd-ko_main0.c	main	1
crypto-md4-ko_main0.c	main	0
crypto-michael_mic-ko_main0.c	main	0
crypto-pcbc-ko_main0.c	main	0
crypto-pcrypt-ko_main0.c	main	0
crypto-rmd128-ko_main0.c	main	0
crypto-rmd160-ko_main0.c	main	0
crypto-rmd256-ko_main0.c	main	0
crypto-rmd320-ko_main0.c	main	0
crypto-salsa20_generic-ko_main0.c	main	0
crypto-seed-ko_main0.c	main	0
crypto-seqiv-ko_main0.c	main	0
crypto-serpent_generic-ko_main0.c	main	0
crypto-sha512_generic-ko_main0.c	main	0
crypto-tcrypt-ko_main0.c	main	0
crypto-tea-ko_main0.c	main	0
crypto-tgr192-ko_main0.c	main	0
crypto-twofish_generic-ko_main0.c	main	0
crypto-vmac-ko_main0.c	main	0
crypto-wp512-ko_main0.c	main	0
crypto-xcbc-ko_main0.c	main	0
crypto-xor-ko_main0.c	main	0
crypto-xts-ko_main0.c	main	0
crypto-zlib-ko_main0.c	main	0
drivers-acpi-ac-ko_main0.c	main	0
drivers-acpi-acpi_extlog-ko_main0.c	main	0
drivers-acpi-acpi_ipmi-ko_main0.c	main	2
drivers-acpi-acpi_pad-ko_main0.c	main	1
drivers-acpi-apei-einj-ko_main0.c	main	0
drivers-acpi-apei-erst-dbg-ko_main0.c	main	1
drivers-acpi-battery-ko_main0.c	main	1
drivers-acpi-button-ko_main0.c	main	0
drivers-acpi-custom_method-ko_main0.c	main	0
drivers-acpi-ec_sys-ko_main0.c	main	0
drivers-acpi-fan-ko_main0.c	main	0
drivers-acpi-processor-ko_main0.c	main	3
drivers-acpi-sbshc-ko_main0.c	main	0
drivers-acpi-sbs-ko_main0.c	main	1
drivers-acpi-thermal-ko_main0.c	main	0
drivers-acpi-video-ko_main0.c	main	1
drivers-ata-acard-ahci-ko_main0.c	main	0
drivers-ata-ahci_imx-ko_main0.c	main	0
drivers-ata-ahci-ko_main0.c	main	0
drivers-ata-ahci_platform-ko_main0.c	main	0
drivers-ata-ata_generic-ko_main0.c	main	0
drivers-ata-ata_piix-ko_main0.c	main	1
drivers-ata-libahci-ko_main0.c	main	2
drivers-ata-libahci_platform-ko_main0.c	main	0
drivers-ata-libata-ko_main0.c	main	2
drivers-ata-pata_acpi-ko_main0.c	main	0
drivers-ata-pata_ali-ko_main0.c	main	0
drivers-ata-pata_amd-ko_main0.c	main	0
drivers-ata-pata_arasan_cf-ko_main0.c	main	2
drivers-ata-pata_artop-ko_main0.c	main	0
drivers-ata-pata_atiixp-ko_main0.c	main	1
drivers-ata-pata_atp867x-ko_main0.c	main	0
drivers-ata-pata_cmd640-ko_main0.c	main	0
drivers-ata-pata_cmd64x-ko_main0.c	main	0
drivers-ata-pata_cs5520-ko_main0.c	main	0
drivers-ata-pata_cs5530-ko_main0.c	main	0
drivers-ata-pata_cs5536-ko_main0.c	main	0
drivers-ata-pata_cypress-ko_main0.c	main	0
drivers-ata-pata_efar-ko_main0.c	main	1
drivers-ata-pata_hpt366-ko_main0.c	main	0
drivers-ata-pata_hpt37x-ko_main0.c	main	0
drivers-ata-pata_hpt3x2n-ko_main0.c	main	0
drivers-ata-pata_hpt3x3-ko_main0.c	main	0
drivers-ata-pata_it8213-ko_main0.c	main	0
drivers-ata-pata_it821x-ko_main0.c	main	0
drivers-ata-pata_jmicron-ko_main0.c	main	0
drivers-ata-pata_legacy-ko_main0.c	main	1
drivers-ata-pata_marvell-ko_main0.c	main	0
drivers-ata-pata_mpiix-ko_main0.c	main	0
drivers-ata-pata_netcell-ko_main0.c	main	0
drivers-ata-pata_ninja32-ko_main0.c	main	0
drivers-ata-pata_ns87410-ko_main0.c	main	0
drivers-ata-pata_ns87415-ko_main0.c	main	0
drivers-ata-pata_oldpiix-ko_main0.c	main	0
drivers-ata-pata_optidma-ko_main0.c	main	0
drivers-ata-pata_opti-ko_main0.c	main	0
drivers-ata-pata_pcmcia-ko_main0.c	main	0
drivers-ata-pata_pdc2027x-ko_main0.c	main	0
drivers-ata-pata_pdc202xx_old-ko_main0.c	main	0
drivers-ata-pata_piccolo-ko_main0.c	main	0
drivers-ata-pata_platform-ko_main0.c	main	0
drivers-ata-pata_radisys-ko_main0.c	main	0
drivers-ata-pata_rdc-ko_main0.c	main	1
drivers-ata-pata_rz1000-ko_main0.c	main	0
drivers-ata-pata_sc1200-ko_main0.c	main	0
drivers-ata-pata_sch-ko_main0.c	main	0
drivers-ata-pata_serverworks-ko_main0.c	main	0
drivers-ata-pata_sil680-ko_main0.c	main	0
drivers-ata-pata_sis-ko_main0.c	main	0
drivers-ata-pata_sl82c105-ko_main0.c	main	0
drivers-ata-pata_triflex-ko_main0.c	main	0
drivers-ata-pata_via-ko_main0.c	main	0
drivers-ata-pdc_adma-ko_main0.c	main	2
drivers-ata-sata_highbank-ko_main0.c	main	1
drivers-ata-sata_inic162x-ko_main0.c	main	2
drivers-ata-sata_mv-ko_main0.c	main	2
drivers-ata-sata_nv-ko_main0.c	main	2
drivers-ata-sata_promise-ko_main0.c	main	2
drivers-ata-sata_qstor-ko_main0.c	main	2
drivers-ata-sata_rcar-ko_main0.c	main	2
drivers-ata-sata_sil24-ko_main0.c	main	2
drivers-ata-sata_sil-ko_main0.c	main	2
drivers-ata-sata_sis-ko_main0.c	main	0
drivers-ata-sata_svw-ko_main0.c	main	0
drivers-ata-sata_sx4-ko_main0.c	main	2
drivers-ata-sata_uli-ko_main0.c	main	0
drivers-ata-sata_via-ko_main0.c	main	0
drivers-ata-sata_vsc-ko_main0.c	main	2
drivers-atm-adummy-ko_main0.c	main	0
drivers-atm-ambassador-ko_main0.c	main	3
drivers-atm-atmtcp-ko_main0.c	main	2
drivers-atm-eni-ko_main0.c	main	3
drivers-atm-firestream-ko_main0.c	main	1
drivers-atm-fore_200e-ko_main0.c	main	3
drivers-atm-he-ko_main0.c	main	2
drivers-atm-horizon-ko_main0.c	main	2
drivers-atm-idt77105-ko_main0.c	main	1
drivers-atm-idt77252-ko_main0.c	main	3
drivers-atm-iphase-ko_main0.c	main	2
drivers-atm-lanai-ko_main0.c	main	4
drivers-atm-nicstar-ko_main0.c	main	2
drivers-atm-solos-pci-ko_main0.c	main	2
drivers-atm-suni-ko_main0.c	main	1
drivers-atm-uPD98402-ko_main0.c	main	1
drivers-atm-zatm-ko_main0.c	main	2
drivers-auxdisplay-cfag12864bfb-ko_main0.c	main	0
drivers-auxdisplay-cfag12864b-ko_main0.c	main	1
drivers-auxdisplay-ks0108-ko_main0.c	main	0
drivers-base-firmware_class-ko_main0.c	main	2
drivers-base-regmap-regmap-i2c-ko_main0.c	main	0
drivers-base-regmap-regmap-spmi-ko_main0.c	main	0
drivers-bcma-bcma-ko_main0.c	main	2
drivers-block-aoe-aoe-ko_main0.c	main	3
drivers-block-brd-ko_main0.c	main	3
drivers-block-cciss-ko_main0.c	main	3
drivers-block-cryptoloop-ko_main0.c	main	0
drivers-block-DAC960-ko_main0.c	main	1
drivers-block-floppy-ko_main0.c	main	2
drivers-block-loop-ko_main0.c	main	3
drivers-block-mtip32xx-mtip32xx-ko_main0.c	main	4
drivers-block-nbd-ko_main0.c	main	2
drivers-block-null_blk-ko_main0.c	main	2
drivers-block-nvme-ko_main0.c	main	3
drivers-block-osdblk-ko_main0.c	main	1
drivers-block-paride-aten-ko_main0.c	main	0
drivers-block-paride-bpck-ko_main0.c	main	0
drivers-block-paride-comm-ko_main0.c	main	0
drivers-block-paride-dstr-ko_main0.c	main	0
drivers-block-paride-epat-ko_main0.c	main	0
drivers-block-paride-epia-ko_main0.c	main	0
drivers-block-paride-fit2-ko_main0.c	main	0
drivers-block-paride-fit3-ko_main0.c	main	0
drivers-block-paride-friq-ko_main0.c	main	0
drivers-block-paride-frpw-ko_main0.c	main	0
drivers-block-paride-kbic-ko_main0.c	main	0
drivers-block-paride-ktti-ko_main0.c	main	0
drivers-block-paride-on20-ko_main0.c	main	0
drivers-block-paride-on26-ko_main0.c	main	0
drivers-block-paride-pcd-ko_main0.c	main	1
drivers-block-paride-pd-ko_main0.c	main	2
drivers-block-paride-pf-ko_main0.c	main	1
drivers-block-paride-pg-ko_main0.c	main	2
drivers-block-paride-pt-ko_main0.c	main	2
drivers-block-pktcdvd-ko_main0.c	main	5
drivers-block-rbd-ko_main0.c	main	1
drivers-block-skd-ko_main0.c	main	2
drivers-block-umem-ko_main0.c	main	2
drivers-block-virtio_blk-ko_main0.c	main	1
drivers-block-xen-blkback-xen-blkback-ko_main0.c	main	1
drivers-block-xen-blkfront-ko_main0.c	main	4
drivers-block-zram-zram-ko_main0.c	main	0
drivers-bluetooth-ath3k-ko_main0.c	main	0
drivers-bluetooth-bcm203x-ko_main0.c	main	1
drivers-bluetooth-bfusb-ko_main0.c	main	2
drivers-bluetooth-bluecard_cs-ko_main0.c	main	2
drivers-bluetooth-bpa10x-ko_main0.c	main	0
drivers-bluetooth-bt3c_cs-ko_main0.c	main	2
